Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.8,0.0,0.0
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.6,6.328,5.143
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.6,4.067,2.96
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.5,2.841,1.831
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.1,6.759,5.619
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.0,6.933,5.278
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.0,19.14,17.609
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-5.0,10.102,7.076
2bx4_CC(=O)N1CCC(c2ccc(Cl)cc2)CC1_uff_E=223.56,-4.8,19.29,17.818
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.8,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.6,16.453,15.105
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.5,16.245,14.115
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.4,15.685,13.396
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.3,15.581,13.005
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.1,22.97,20.589
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-5.0,16.881,15.623
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-4.7,16.353,13.115
2bx4_CC(=O)N1CCN(C(=O)NC(=O)Nc2ccc(C)cc2)CC1_uff_E=246.13,-4.5,17.36,15.266
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.7,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.6,18.866,17.815
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.6,20.209,18.846
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.4,20.439,19.046
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.3,19.849,18.545
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.3,6.814,3.608
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.1,21.064,19.443
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-5.0,20.561,18.978
2bx4_CC(=O)N1CCN(C(=O)c2ccc(Cl)cc2)CC1_uff_E=222.50,-4.7,18.973,18.08
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.8,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.8,18.761,17.473
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.7,18.743,17.488
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.5,5.477,3.424
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.4,5.669,3.803
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.3,11.904,7.194
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.3,4.798,3.366
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-5.1,5.47,3.085
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2)CC1_uff_E=223.66,-4.9,19.425,18.194
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-6.0,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.7,18.715,17.451
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.6,5.482,3.754
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.5,4.094,2.885
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.5,5.465,3.526
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.5,18.583,17.347
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.4,5.275,3.591
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.1,4.529,3.32
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2F)CC1_uff_E=233.40,-5.1,19.661,17.664
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.4,0.0,0.0
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.4,6.73,4.173
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.3,6.268,3.882
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.3,17.684,16.777
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.2,6.335,4.203
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.1,3.118,2.097
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.0,18.244,17.352
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-5.0,6.463,3.052
2bx4_CC(=O)N1CCN(Cc2ccccc2)CC1_uff_E=302.79,-4.9,6.521,4.191
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.6,0.0,0.0
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.6,11.915,7.509
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.4,17.747,16.793
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.3,6.57,3.572
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.3,12.714,8.342
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.3,6.0,4.098
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.3,3.187,2.274
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.2,17.888,16.972
2bx4_CC(=O)N1CCN(Cc2ccccc2F)CC1_uff_E=305.99,-5.2,5.049,3.653
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.4,0.0,0.0
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.2,1.73,1.24
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.2,6.013,3.986
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.2,2.769,2.159
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.1,19.656,18.947
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.0,6.99,2.343
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-5.0,19.274,18.511
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-4.9,6.965,2.133
2bx4_CC(=O)N1CCN(S(=O)(=O)C2=CC=CC2)CC1_uff_E=783.90,-4.9,11.721,9.711
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.6,0.0,0.0
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.6,6.28,4.322
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.4,7.414,4.824
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.3,7.203,2.183
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.3,7.325,2.086
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.3,20.079,19.415
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.2,7.349,2.505
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.1,7.316,2.487
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1_uff_E=1898.66,-5.0,2.414,1.465
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.6,0.0,0.0
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.4,2.541,1.731
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.4,5.176,4.121
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.3,11.082,9.991
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.2,15.013,14.121
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.1,15.501,14.296
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.1,14.12,13.183
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.0,19.699,19.011
2bx4_CC(=O)NC1=CCC(C)=N1_uff_E=140.44,-4.0,4.592,2.221
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.6,0.0,0.0
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.5,9.48,8.015
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.4,9.884,7.948
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.3,19.132,18.211
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.2,10.855,8.995
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.2,11.354,9.844
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.2,3.541,2.901
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.0,10.882,9.334
2bx4_CC(=O)Nc1ccccc1_uff_E=74.19,-4.0,4.839,3.479
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-5.1,0.0,0.0
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-5.1,4.443,2.116
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.9,3.211,0.562
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.7,4.412,2.714
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.7,3.945,2.296
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.7,9.27,7.514
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.7,9.561,7.341
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.6,12.257,9.482
2bx4_CC(=O)Nc1ccncc1NC(C)=O_uff_E=103.97,-4.5,12.375,9.556
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-5.3,0.0,0.0
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-5.1,15.183,12.534
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.9,4.539,2.23
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.9,3.242,1.967
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.8,3.132,2.209
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.7,11.567,9.013
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.7,4.413,2.465
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.6,14.685,12.131
2bx4_COC(=O)c1ccncc1NCCCNO_uff_E=81.34,-4.6,3.45,2.506
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-4.9,0.0,0.0
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-4.5,13.328,12.678
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-4.1,18.105,17.178
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-4.0,15.637,14.916
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-3.9,14.165,13.29
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-3.8,15.205,14.481
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-3.8,13.858,13.283
2bx4_NC(=O)NCC1=CC=N1_uff_E=1045.12,-3.6,15.987,15.051
